aramax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight (kg),UAE,BAHRAIN/OMAN/KUWAIT,SAUDI,EGYPT/JORDAN/YEMEN/LEBANON/CYPRUS/TURKEY,QATAR,TAIWAN/VIETNAM,SINGAPORE,MALAYSIA,THAILAND,PHILIPPINES,NEPAL,BANGLADESH,SRI LANKA,HONG KONG,PAKISTAN/CHINA/KOREA/INDONESIA,MALDIVES,UK-PPX,UK-GPX,JAPAN,NEW ZEALAND,ITALY,GERMANY,FRANCE,EUROPE*,CAUCASUS,RUSSIA/EEU,BAH/KW-DPX (>11kg/21kg),OMAN-GPX (>11kg/21kg),SAUDI-GPX (>11kg/21kg),EGYPT/JO/LB-DPX (>20kg),TURKEY-DPX (>20kg)
Dox 500 Gm,874,903,941,1234,904,1010,406,453,623,1010,209,498,332,323,1502,887,776,356,1428,1350,615,561,697,1501,1147,1075,0,0,0,0,0
SPX 500 Gm,971,944,1023,1253,944,1010,406,513,722,1548,300,585,332,323,1502,887,776,356,2154,1350,657,603,768,1501,1474,1749,0,0,0,0,0
1,1077,1197,1131,1765,1197,1434,518,829,1042,2406,300,734,436,324,1705,1114,872,452,2556,1651,759,705,927,2005,1510,2468,0,0,0,0,0
1.5,1211,1474,1284,2284,1474,1565,642,1165,1436,2970,433,884,540,354,2078,1336,968,548,3074,1958,914,860,1140,2510,1831,2968,0,0,0,0,0
2,1346,1749,1438,2797,1749,1828,766,1483,1811,3534,577,1034,646,423,2451,1558,1064,644,3468,2264,1016,962,1299,3014,2193,3469,0,0,0,0,0
2.5,1481,2025,1592,3310,2025,2060,890,1818,2107,4153,721,1184,750,472,2824,1780,1160,740,4001,2570,1117,1064,1458,3518,2420,3969,0,0,0,0,0
3,1986,2613,2370,3835,2613,2469,965,2135,2481,4748,866,1334,854,541,3291,2202,1256,836,4321,2947,1219,1165,1616,4023,2796,4470,0,0,0,0,0
3.5,2093,2882,2510,4335,2882,2616,1148,2472,2875,5343,1010,1484,982,591,3584,2289,1352,1352,4771,3263,1375,1348,1856,4527,3172,4970,0,0,0,0,0
4,2200,3151,2649,4860,3151,2763,1330,2789,3250,5938,1154,1634,1087,660,3877,2376,1448,1448,5090,3545,1459,1433,1998,5032,3548,5471,0,0,0,0,0
4.5,2308,3420,2788,5373,3420,2910,1512,3125,3644,6534,1297,1784,1215,709,4176,2463,1544,1544,5531,3820,1561,1534,2157,5536,3886,5971,0,0,0,0,0
5,2415,3689,2928,5886,3689,2997,1695,3442,4018,7129,1441,1934,1319,778,4468,2550,1640,1640,5857,4105,1646,1619,2299,6041,4262,6472,0,0,0,0,0
5.5,1329,2690,3769,6436,2052,4650,1687,3778,4412,7536,1550,2084,1459,828,6649,4343,1736,1736,7080,4677,1774,1748,2485,6609,4638,7004,0,0,0,0,0
6,1329,2691,3931,6986,2052,4835,1851,4095,4787,7944,1670,2234,1563,916,7021,4540,1832,1832,7446,4902,1886,1859,2654,7178,5014,7536,0,0,0,0,0
6.5,1549,3136,4093,7536,2392,5020,2015,4432,5181,8353,1828,2384,1705,966,7394,4736,1927,1927,7942,5418,2015,1988,2840,7747,5390,8069,0,0,0,0,0
7,1548,3137,4254,8086,2392,5206,2179,4749,5555,8761,1949,2534,1809,1054,7766,4933,2023,2023,8304,5657,2127,2100,3009,8315,5766,8601,0,0,0,0,0
7.5,1768,3583,4416,8636,2732,5738,2343,5085,5949,9169,2106,2683,1948,1104,8139,5130,2119,2119,8800,5895,2255,2228,3194,8884,6142,9133,0,0,0,0,0
8,1769,3583,4578,9186,2733,5936,2507,5402,6324,9576,2227,2833,2053,1192,8512,5327,2215,2215,9166,6133,2367,2340,3363,9453,6518,9666,0,0,0,0,0
8.5,1988,4029,4740,9736,3073,6134,2671,5739,6718,9984,2384,2983,2194,1243,8928,5524,2311,2311,9661,6371,2495,2469,3549,10022,6894,10198,0,0,0,0,0
9,1988,4030,4901,10286,3073,6331,2835,6055,7092,10393,2505,3133,2298,1330,9338,5721,2407,2407,10025,6609,2607,2580,3718,10590,7270,10731,0,0,0,0,0
9.5,2208,4476,5063,10836,3413,6529,2999,6391,7486,10801,2663,3283,2438,1381,9748,5917,2503,2503,10509,6847,2736,2709,3904,11159,7646,11263,0,0,0,0,0
