fedex non doc,,,,,,,,,,,,,,,,,
WEIGHT_KG,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE J,ZONE K,ZONE L,ZONE M,ZONE N,ZONE O,ZONE P,ZONE Q
0.5,1571,1719,1869,2024,2346,2186,2251,2206,2364,2459,2019,2406,1690,2616,2616,2616,2616
1,1789,2152,2258,2415,2851,2508,2563,2649,2769,2718,2257,2742,1926,2927,2927,2927,2927
1.5,2075,2623,2686,2879,3394,2958,3071,3133,3343,3058,2538,3273,2230,3280,3280,3280,3280
2,2322,3055,3077,3304,3898,3279,3385,3577,3789,3360,2779,3611,2497,3594,3594,3594,3594
2.5,2607,3526,3505,3768,4441,3729,3892,4061,4363,3700,3059,4142,2802,3947,3947,3947,3947
3,3791,4007,4182,4185,4539,4512,4758,4288,4664,4606,4105,4841,3903,4650,4650,4650,4650
3.5,4062,4214,4363,4479,4835,4947,5277,4702,5124,4958,4514,5366,4181,5110,5110,5110,5110
4,4294,4383,4506,4734,5092,5253,5603,5076,5455,5271,4885,5699,4420,5532,5532,5531,5532
4.5,4564,4591,4687,5027,5389,5688,6123,5489,5915,5623,5295,6224,4698,5992,5992,5991,5992
5,4797,4760,4830,5282,5646,5994,6449,5864,6246,5936,5666,6556,4937,6414,6414,6413,6414
5.5,5698,7924,6842,7917,7402,6164,6734,7993,7984,8151,11174,6907,5980,11174,11174,11173,11174
6,5941,8284,7152,8234,7712,6422,6991,8219,8393,8582,11702,7173,6235,11702,11702,11701,11702
6.5,6492,8952,7772,8859,8331,6809,7442,8753,8929,9323,12538,7632,6800,12538,12538,12538,12538
7,6735,9312,8082,9176,8641,7067,7699,8979,9338,9754,13066,7898,7055,13066,13066,13066,13066
7.5,7055,9748,8470,9569,9029,7453,8149,9282,9875,10263,13670,8357,7388,13670,13670,13671,13670
8,7298,10107,8780,9885,9339,7712,8406,9507,10283,10694,14198,8623,7643,14198,14198,14199,14198
8.5,7270,10196,8820,9931,9378,8098,8857,9462,10820,10855,14455,9082,7628,14455,14455,14456,14455
9,7513,10555,9130,10247,9688,8357,9114,9688,11228,11286,14982,9348,7883,14982,14982,14984,14982
9.5,7794,10953,9479,10602,10036,8743,9564,9952,11765,11756,15548,9807,8177,15548,15548,15550,15548
10,8037,11313,9790,10919,10346,9001,9821,10178,12174,12188,16075,10073,8432,16075,16075,16078,16075
10.5,8290,11692,9981,11222,10710,9468,11011,11298,12694,12754,16619,11294,8696,16619,16619,16623,16619
11,8509,12033,10191,11486,11031,9772,11343,11663,13086,13241,17124,11634,8927,17125,17125,17128,17124
11.5,8767,12413,10440,11788,11391,10204,11868,12067,13606,13766,17667,12168,9196,17669,17669,17673,17667
12,8986,12753,10650,12053,11712,10508,12199,12432,13998,14253,18172,12509,9427,18174,18174,18179,18172
12.5,9244,13133,10899,12355,12071,10940,12724,12836,14518,14779,18716,13043,9696,18718,18718,18723,18716
13,9464,13474,11110,12619,12393,11244,13056,13201,14909,15266,19220,13383,9927,19223,19223,19229,19220
13.5,9721,13853,11359,12922,12752,11676,13581,13605,15429,15792,19764,13917,10196,19767,19767,19774,19764
14,9941,14194,11569,13186,13074,11980,13912,13971,15821,16279,20269,14258,10426,20273,20273,20279,20269
14.5,10199,14573,11818,13489,13433,12413,14437,14375,16341,16805,20812,14792,10696,20817,20817,20824,20812
15,10418,14914,12028,13753,13755,12716,14769,14740,16733,17292,21317,15132,10927,21322,21322,21330,21317
15.5,10676,15294,12277,14056,14114,13149,15294,15144,17253,17817,21861,15666,11196,21866,21866,21874,21861
16,10895,15635,12487,14320,14435,13453,15625,15509,17645,18304,22366,16007,11426,22371,22371,22380,22366
16.5,11153,16014,12736,14623,14795,13885,16150,15913,18165,18830,22909,16541,11696,22915,22915,22924,22909
17,11372,16355,12946,14887,15116,14189,16482,16278,18557,19317,23414,16881,11926,23421,23421,23430,23414
17.5,11631,16735,13195,15190,15476,14621,17007,16682,19077,19843,23957,17415,12196,23965,23965,23975,23957
18,11850,17075,13405,15454,15797,14925,17338,17047,19469,20330,24462,17756,12426,24470,24470,24481,24462
18.5,12108,17455,13654,15757,16157,15357,17863,17451,19989,20856,25006,18290,12695,25014,25014,25025,25006
19,12327,17796,13864,16021,16478,15661,18195,17817,20380,21343,25511,18630,12926,25519,25519,25531,25511
19.5,12585,18175,14113,16324,16838,16093,18720,18220,20901,21868,26054,19164,13195,26063,26063,26075,26054
20,12804,18516,14323,16588,17159,16397,19051,18586,21292,22355,26559,19505,13426,26568,26568,26581,26559
20.5,13062,18896,14573,16891,17519,16830,19576,18990,21813,22881,27103,20039,13695,27113,27113,27126,27103
21,14252,19202,14860,17295,17892,16866,20159,20877,22186,23377,27828,20581,14936,27838,27838,27852,27828
21.5,14499,19564,15191,17727,18298,17299,20719,21336,22704,23912,28593,21151,15194,28602,28602,28617,28593
22,14708,19888,15484,18122,18665,17604,21085,21757,23094,24408,29318,21528,15413,29327,29327,29344,29318
22.5,14955,20250,15815,18554,19071,18038,21645,22216,23612,24943,30082,22099,15670,30091,30091,30109,30082
23,15163,20574,16107,18948,19439,18342,22012,22637,24002,25439,30808,22476,15889,30816,30816,30836,30808
23.5,15410,20936,16438,19381,19844,18776,22572,23096,24520,25974,31572,23046,16147,31580,31580,31601,31572
24,15618,21260,16730,19775,20212,19081,22939,23516,24910,26470,32298,23424,16366,32305,32305,32328,32298
24.5,15865,21622,17061,20208,20617,19514,23498,23975,25428,27005,33062,23994,16623,33069,33069,33093,33062
25,16073,21945,17354,20602,20985,19819,23865,24396,25818,27501,33788,24371,16842,33794,33794,33820,33788
25.5,16321,22308,17684,21034,21391,20253,24425,24855,26336,28036,34552,24941,17100,34558,34558,34585,34552
26,16529,22631,17977,21428,21758,20558,24791,25276,26726,28532,35278,25319,17319,35283,35283,35312,35278
26.5,16776,22993,18308,21861,22164,20991,25351,25735,27244,29067,36042,25889,17576,36047,36047,36077,36042
27,16984,23317,18600,22255,22531,21296,25718,26155,27634,29563,36768,26266,17795,36772,36772,36804,36768
27.5,17231,23679,18931,22688,22937,21730,26278,26615,28152,30098,37533,26837,18053,37536,37536,37569,37533
28,17440,24003,19223,23082,23304,22035,26645,27035,28542,30594,38258,27214,18272,38261,38261,38296,38258
28.5,17686,24365,19554,23514,23710,22468,27205,27494,29060,31129,39022,27784,18529,39025,39025,39061,39022
29,17895,24688,19847,23908,24077,22773,27571,27915,29450,31625,39748,28161,18748,39750,39750,39787,39748
29.5,18142,25051,20178,24341,24483,23206,28131,28374,29968,32160,40512,28732,19006,40514,40514,40553,40512
30,18350,25374,20470,24735,24850,23511,28498,28795,30358,32656,41238,29109,19225,41239,41239,41279,41238
30.5,18597,25737,20801,25168,25256,23945,29058,29254,30876,33191,42002,29679,19482,42003,42003,42045,42002
31,18805,26060,21093,25562,25623,24250,29424,29674,31266,33687,42728,30056,19701,42728,42728,42771,42728
31.5,19052,26422,21424,25994,26029,24683,29984,30133,31784,34222,43492,30627,19959,43492,43492,43536,43492
32,19261,26746,21717,26389,26396,24988,30351,30554,32174,34718,44218,31004,20178,44217,44217,44263,44218
32.5,19508,27108,22048,26821,26802,25421,30911,31013,32692,35253,44982,31574,20435,44981,44981,45028,44982
33,19716,27432,22340,27215,27170,25727,31277,31433,33082,35749,45708,31951,20654,45706,45706,45755,45708
33.5,19963,27794,22671,27648,27575,26160,31837,31893,33600,36284,46472,32522,20912,46470,46470,46520,46472
34,20171,28117,22963,28042,27943,26465,32204,32313,33990,36780,47198,32899,21131,47195,47195,47247,47198
34.5,20418,28480,23294,28475,28348,26898,32764,32772,34508,37315,47962,33469,21388,47959,47959,48012,47962
35,20627,28803,23586,28868,28716,27203,33130,33193,34898,37811,48688,33847,21607,48684,48684,48739,48688
35.5,20874,29166,23918,29301,29122,27637,33690,33652,35416,38346,49452,34417,21865,49448,49448,49504,49452
36,21082,29489,24210,29695,29489,27942,34057,34073,35806,38842,50178,34794,22084,50173,50173,50231,50178
36.5,21329,29851,24541,30128,29895,28375,34617,34532,36324,39377,50942,35365,22341,50937,50937,50996,50942
37,21537,30175,24833,30522,30262,28680,34984,34952,36714,39873,51668,35742,22560,51662,51662,51723,51668
37.5,21784,30537,25164,30955,30668,29114,35543,35411,37232,40408,52432,36312,22818,52426,52426,52488,52432
38,21993,30861,25456,31349,31035,29419,35910,35832,37622,40904,53158,36689,23037,53151,53151,53215,53158
38.5,22240,31223,25787,31781,31441,29852,36470,36291,38140,41439,53922,37260,23294,53915,53915,53980,53922
39,22448,31546,26080,32175,31808,30157,36837,36712,38530,41935,54648,37637,23513,54640,54640,54706,54648
39.5,22695,31909,26411,32608,32214,30590,37397,37171,39048,42470,55412,38207,23771,55404,55404,55472,55412
40,22903,32232,26703,33002,32581,30895,37763,37591,39438,42966,56138,38584,23990,56129,56129,56198,56138
40.5,23150,32595,27034,33435,32987,31329,38323,38051,39956,43501,56902,39155,24247,56893,56893,56964,56902
41,23359,32918,27326,33829,33354,31634,38690,38471,40346,43997,57628,39532,24466,57618,57618,57690,57628
41.5,23606,33280,27657,34261,33760,32067,39250,38930,40864,44532,58392,40102,24724,58382,58382,58456,58392
42,23814,33604,27950,34655,34128,32372,39616,39351,41254,45028,59118,40480,24943,59107,59107,59182,59118
42.5,24061,33966,28280,35088,34533,32806,40176,39810,41772,45563,59882,41050,25200,59871,59871,59947,59882
43,24269,34290,28573,35482,34901,33111,40543,40231,42162,46059,60608,41427,25419,60596,60596,60674,60608
43.5,24516,34652,28904,35915,35306,33544,41103,40690,42680,46594,61372,41997,25677,61360,61360,61439,61372
44,24725,34975,29196,36309,35674,33849,41469,41110,43070,47090,62098,42375,25896,62086,62086,62166,62098
44.5,24971,35338,29527,36741,36080,34282,42029,41569,43588,47625,62862,42945,26153,62849,62849,62931,62862
45,24992,39460,31828,37085,37703,35243,42295,44241,43961,48032,63474,43328,26195,63461,63461,63535,63474
45.5,25291,39886,32178,37457,38101,35586,42834,44644,44462,48509,64146,43877,26507,64134,64134,64200,64146
46,25550,40273,32489,37790,38461,35801,43180,45008,44835,48947,64779,44233,26780,64768,64768,64827,64779
46.5,25849,40699,32838,38161,38859,36144,43720,45411,45336,49424,65451,44782,27092,65440,65440,65492,65451
47,26109,41087,33149,38494,39219,36358,44066,45775,45708,49862,66085,45138,27365,66074,66074,66118,66085
47.5,26407,41513,33499,38865,39617,36701,44605,46178,46210,50338,66757,45687,27677,66747,66747,66783,66757
48,26667,41900,33810,39198,39977,36916,44951,46542,46582,50777,67391,46043,27950,67381,67381,67409,67391
48.5,26966,42326,34159,39569,40375,37259,45490,46945,47083,51253,68063,46592,28262,68054,68054,68074,68063
49,27226,42714,34470,39902,40735,37474,45837,47309,47456,51691,68696,46948,28536,68688,68688,68700,68696
49.5,27524,43140,34820,40274,41133,37817,46376,47712,47957,52168,69368,47497,28847,69360,69360,69365,69368
50,27784,43527,35131,40606,41493,38032,46722,48076,48330,52606,70002,47853,29121,69994,69994,69992,70002
50.5,28082,43953,35481,40978,41891,38375,47261,48479,48831,53083,70674,48402,29433,70667,70667,70657,70674
51,28342,44341,35792,41311,42251,38589,47608,48844,49204,53521,71307,48758,29706,71301,71301,71283,71307
51.5,28641,44767,36141,41682,42649,38932,48147,49246,49705,53998,71979,49307,30018,71973,71973,71948,71979
52,28901,45154,36452,42015,43009,39147,48493,49611,50078,54436,72613,49663,30291,72607,72607,72574,72613
52.5,29199,45580,36802,42386,43407,39490,49032,50013,50579,54913,73285,50212,30603,73280,73280,73239,73285
53,29459,45967,37113,42719,43767,39705,49378,50378,50951,55351,73918,50568,30877,73914,73914,73865,73918
53.5,29757,46393,37462,43090,44165,40048,49917,50780,51452,55828,74591,51117,31189,74586,74586,74530,74591
54,30017,46781,37773,43423,44525,40262,50264,51145,51825,56266,75224,51472,31462,75220,75220,75157,75224
54.5,30316,47207,38123,43794,44923,40606,50803,51548,52326,56742,75896,52022,31774,75893,75893,75822,75896
55,30576,47594,38434,44127,45283,40820,51150,51912,52699,57180,76530,52377,32047,76527,76527,76448,76530
