Skynet europe,,,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_KG,Netherlands (NL),Germany (DE),Belgium (BE),Luxembourg (LU),France (FR),Austria (AT),Czech Republic (CZ),Poland (PL),Hungary (HU),Ireland (IE),Lithuania (LT),Slovakia (SK),Latvia (LV),Estonia (EE),Spain (ES),Sweden (SE),Portugal (PT),Italy (IT),Finland (FI),Bulgaria (BG),Romania (RO),Greece (GR),Croatia (HR),Slovenia (SI),Denmark (DK)
1 PKG,1824,1311,1942,1942,2269,1942,2191,2270,2601,2162,3728,2601,3728,3728,2513,3175,2405,2216,3728,4869,4869,4869,3728,2601,2191
2 PKG,1224,908,1224,1224,1387,1224,1349,1389,1553,1335,2117,1553,2117,2117,1509,1840,1455,1362,2117,2687,2687,2687,2117,1553,1349
3 PKG,1034,824,1034,1034,1142,1034,1117,1144,1253,1107,1630,1253,1630,1630,1225,1445,1188,1125,1630,2009,2009,2009,1630,1253,1117
4 PKG,956,801,956,956,1038,956,1021,1036,1122,1026,1405,1122,1405,1405,1147,1266,1090,1040,1405,1691,1691,1691,1405,1122,1021
5 PKG,919,795,919,919,986,919,971,983,1052,976,1278,1052,1278,1278,1031,1167,1027,986,1278,1507,1507,1507,1278,1052,971
6 PKG,899,803,902,902,958,902,945,953,1009,946,1193,1013,1193,1193,992,1102,988,955,1193,1385,1385,1385,1193,1013,945
7 PKG,897,816,899,899,948,899,937,944,991,938,1149,995,1149,1149,977,1072,975,945,1149,1313,1313,1313,1149,995,937
8 PKG,904,949,907,907,948,907,939,944,986,940,1124,990,1124,1124,975,1056,971,947,1124,1267,1267,1267,1124,990,939
9 PKG,915,853,918,918,954,918,946,951,988,947,1110,992,1110,1110,978,1050,975,953,1110,1238,1238,1238,1110,992,946
10 PKG,929,874,932,932,966,932,959,963,995,960,1105,999,1105,1105,987,1052,985,964,1105,1220,1220,1220,1105,999,959
11 PKG,684,632,686,686,716,686,710,713,742,709,847,746,847,847,734,794,732,714,847,948,948,948,948,746,710
12 PKG,673,627,675,675,703,675,699,700,727,698,823,731,823,823,720,774,718,702,823,916,916,916,823,731,699
13 PKG,664,622,667,667,693,667,688,691,714,686,802,718,802,802,709,759,706,691,802,890,890,890,802,718,688
14 PKG,657,618,660,660,684,660,680,681,703,678,785,707,785,785,698,745,696,682,785,866,866,866,785,707,680
15 PKG,652,614,654,654,677,654,673,674,695,671,770,699,770,770,689,732,688,674,770,845,845,845,770,699,673
16 PKG,647,613,650,650,673,650,667,667,693,668,759,693,759,759,682,728,684,671,759,830,830,830,759,693,667
17 PKG,642,610,645,645,667,645,661,661,685,663,748,685,748,748,675,718,677,666,748,815,815,815,748,685,661
18 PKG,638,607,641,641,661,641,656,656,678,657,737,678,737,737,668,709,671,660,737,799,799,799,737,678,656
19 PKG,634,606,636,636,656,636,652,650,673,652,728,673,728,728,663,702,666,654,728,787,787,787,728,673,652
20 PKG,638,603,634,634,652,634,647,646,667,657,720,667,720,720,659,695,660,650,720,776,776,776,720,667,647
21 PKG,635,604,631,631,650,631,652,643,666,645,717,666,717,717,654,693,656,646,717,769,769,769,717,666,646
22 PKG,628,603,628,628,646,628,647,639,661,641,710,661,710,710,650,688,652,643,710,759,759,759,710,661,642
23 PKG,625,602,625,625,642,625,643,636,657,638,703,657,703,703,646,682,649,639,707,751,751,751,703,657,639
24 PKG,622,600,622,622,639,622,641,634,653,635,698,653,698,698,643,678,645,636,702,742,742,742,698,653,636
25 PKG,621,599,621,621,636,621,638,631,649,632,692,649,692,692,641,673,642,634,696,735,735,735,692,649,634
26 PKG,621,599,621,621,635,621,635,628,647,629,686,647,686,686,638,670,639,631,691,731,731,731,686,647,632
27 PKG,618,597,618,618,632,618,632,625,645,627,682,645,682,682,635,667,636,629,686,724,724,724,682,645,629
28 PKG,617,596,617,617,629,617,629,624,642,625,678,642,678,678,632,663,634,627,682,718,718,718,678,642,627
29 PKG,615,595,615,615,628,615,628,621,639,622,674,639,674,674,629,660,631,624,678,713,713,713,674,639,625
30 PKG,613,595,613,613,625,613,625,620,636,621,670,636,670,670,628,656,629,622,674,709,709,709,670,636,624
