ups non doc,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_KG,USA,Canada,"Mexico, Puerto Rico",Germany,"Belgium, Netherlands, Luxembourg",UK,"Denmark, France, Italy, Spain, Switzerland","Austria, Ireland, Portugal, Sweden","Norway, Finland, Greece",Japan,South Korea,"Hong Kong, Singapore, Thailand, Malaysia",Australia,New Zealand,ZONE 1,ZONE 2,ZONE 3,ZONE 4,ZONE 6,ZONE 10,ZONE 7,ZONE 8,ZONE 9
0.5,1519,1595,1609,1262,1378,1350,1413,1589,1656,1774,1774,1613,2087,2233,2505,2579,2991,1427,3096,3879,2140,2178,2198
1,2061,2134,2152,1569,1679,1644,1718,1929,2009,2220,2220,2092,2256,2452,2968,3088,3613,1723,3627,4511,2505,2549,2593
1.5,2374,2457,2477,1842,1969,1912,2049,2259,2351,2642,2642,2478,2678,2907,3682,3578,4215,2134,4169,5151,2878,2929,3054
2,2701,2746,2746,2020,2149,2106,2234,2461,2560,2918,2918,2727,3054,3192,3978,3883,4585,2325,4465,5493,3253,3338,3450
2.5,3262,3316,3316,2293,2427,2440,2522,2777,2888,3321,3321,3095,3535,3632,4454,4364,5177,2625,4978,6100,3627,3720,3845
3,3594,3655,3655,2515,2660,2677,2899,3039,3159,3706,3768,3465,3904,4473,5166,4791,5663,3231,5494,6715,4001,4104,4241
3.5,4082,4188,4188,2761,2896,2914,3155,3303,3432,4141,4210,3835,4267,4796,5591,5193,6149,3518,6006,7318,4376,4525,4636
4,4481,4561,4600,2986,3130,3173,3405,3567,3706,4580,4656,4204,4632,5200,6019,5598,6636,3807,6520,7926,4749,4910,5031
4.5,4898,4985,5028,3237,3365,3413,3661,3829,3977,5021,5104,4576,4989,5590,6446,5991,7110,4095,7032,8532,5122,5295,5425
5,5317,5411,5457,3460,3596,3647,3911,4092,4250,5413,5548,4947,5354,6449,6877,6385,7605,4377,7539,9140,5496,5681,5820
5.5,5644,5693,5693,3665,3809,3864,4142,4333,4499,6549,6549,5279,5860,6877,8676,8215,9113,4661,8001,10451,5843,6088,6186
6,5980,6033,6033,3870,4021,4074,4365,4567,4742,7009,7009,5812,6289,7309,9069,8615,9660,4941,8453,11027,6198,6457,6560
6.5,6319,6374,6374,4076,4235,4291,4597,4810,4994,7466,7466,6211,6663,7741,9433,9014,10206,5229,8919,11592,6563,6836,6946
7,6652,6710,6710,4282,4448,4508,4828,5044,5235,7929,7929,6726,7040,8170,9800,9419,10750,5510,9378,12157,6928,7217,7332
7.5,6991,7052,7052,4489,4662,4721,5054,5284,5484,8387,8387,7098,7415,8600,10169,9794,11294,5795,9839,12715,7293,7596,7717
8,7329,7392,7392,4692,4872,4940,5288,5524,5732,8850,8850,7474,7791,9029,10531,10175,11846,6027,10302,13275,7638,7955,8082
8.5,7661,7728,7728,4901,5088,5152,5514,5762,5979,9307,9307,7855,8165,9674,10898,10559,12389,6261,10755,13825,7975,8305,8437
9,7996,8065,8065,5103,5298,5366,5742,6003,6228,9769,9769,8235,8541,10115,11269,10942,12934,6492,11220,14376,8303,8646,8783
9.5,8315,8387,8387,5306,5508,5586,5976,6235,6468,10228,10228,8621,8904,10543,11631,11320,13461,6729,11674,14926,8630,8986,9128
